# 金融销售/违规营销类关键词配置文件
# 格式: 关键词|类别
# 以#开头的为注释行

# ========== 承诺收益类 ==========
保本|承诺收益
保本理财|承诺收益
稳赚|承诺收益
稳赚不赔|承诺收益
零风险|承诺收益
本金保障|承诺收益
年化收益|承诺收益
年化收益率|承诺收益
预期收益|承诺收益
保证收益|承诺收益
固定收益|承诺收益
收益保障|承诺收益
投资回报|承诺收益
月息|承诺收益
日息|承诺收益
高息|承诺收益
利息|承诺收益
分红|承诺收益
返利|承诺收益
返现|承诺收益
加息|承诺收益

# ========== 违规营销类 ==========
限时抢购|违规营销
限时优惠|违规营销
限时折扣|违规营销
限时特价|违规营销
限时秒杀|违规营销
错过再无|违规营销
仅限今日|违规营销
仅此一天|违规营销
立即抢购|违规营销
马上抢|违规营销
立即下单|违规营销
立即购买|违规营销
内部渠道|违规营销
特殊渠道|违规营销
VIP通道|违规营销
优先认购|违规营销
原始股|违规营销
上市在即|违规营销
特价|违规营销
特惠|违规营销
特价商品|违规营销
亏本销售|违规营销
亏本价|违规营销
全网最低|违规营销
全网最优|违规营销
历史最低|违规营销
跌破底价|违规营销

# ========== 虚假宣传类 ==========
官方授权|虚假宣传
权威认证|虚假宣传
监管背书|虚假宣传
政府批准|虚假宣传
银行监管|虚假宣传
资金托管|虚假宣传
银行存管|虚假宣传
国企背景|虚假宣传
央企背景|虚假宣传
持牌机构|虚假宣传
金融牌照|虚假宣传
官方正品|虚假宣传
正品保证|虚假宣传
正品授权|虚假宣传
官方旗舰店|虚假宣传
全国联保|虚假宣传
厂家直销|虚假宣传
厂家授权|虚假宣传
顶级品质|虚假宣传
品质保证|虚假宣传
品质保障|虚假宣传

# ========== 违规销售类 ==========
非法集资|违规销售
资金盘|违规销售
传销模式|违规销售
拉人头|违规销售
发展下线|违规销售
团队计酬|违规销售
拆分盘|违规销售
互助盘|违规销售
虚拟货币|违规销售
代币|违规销售
ICO|违规销售
首次代币发行|违规销售
区块链投资|违规销售
空气币|违规销售
传销|违规销售

# ========== 诱导投资类 ==========
高收益理财|诱导投资
高回报|诱导投资
回报率|诱导投资
收益率|诱导投资
投资理财|诱导投资
理财产品|诱导投资
